# LAMP ver. 2.0.3
# item-file: data/conditions/data_995.csv
# value-file: data/conditions/values_995.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 2664
# Adjusted significance level: 6.993e-05, Correction factor: 715 (# of target rows >= 6)
# # of significant combinations: 109
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	1.395e-265	9.9742e-263	472	1	1225	709
2	6.3096e-219	4.5114e-216	493	1	839	530
3	7.9514e-144	5.6852e-141	472,493	2	259	227
4	3.2812e-51	2.3461e-48	472,692	2	184	121
5	3.2684e-47	2.3369e-44	472,272	2	288	153
6	1.0557e-42	7.5484e-40	692	1	758	276
7	2.9788e-42	2.1298e-39	493,692	2	85	71
8	7.7371e-39	5.532e-36	493,272	2	154	97
9	1.5187e-37	1.0859e-34	472,346	2	183	106
10	1.378e-34	9.8525e-32	472,493,692	3	46	45
11	1.0309e-29	7.3708e-27	472,401	2	188	98
12	2.6566e-29	1.8995e-26	472,493,272	3	53	46
13	2.2779e-27	1.6287e-24	493,401	2	128	75
14	7.7651e-25	5.552e-22	041,472	2	97	61
15	2.5896e-22	1.8516e-19	472,346,493	3	35	32
16	3.5718e-22	2.5538e-19	311,472	2	111	63
17	1.0092e-21	7.216e-19	346,493	2	101	59
18	3.3862e-19	2.4211e-16	472,493,401	3	37	31
19	3.1042e-17	2.2195e-14	041,472,493	3	21	21
20	3.9e-16	2.7885e-13	311,493	2	71	42
21	2.1693e-14	1.551e-11	346,692	2	129	58
22	3.9564e-14	2.8288e-11	041,493	2	47	31
23	1.9965e-13	1.4275e-10	311,472,493	3	25	21
24	2.5157e-13	1.7987e-10	346	1	1393	329
25	2.2893e-12	1.6368e-09	472,272,401	3	76	39
26	3.8537e-12	2.7554e-09	472,272,493,401	4	17	16
27	5.3525e-12	3.8271e-09	493,272,692	3	19	17
28	8.6631e-12	6.1941e-09	472,346,692	3	35	24
29	1.6549e-11	1.1833e-08	569,472	2	64	34
30	3.8996e-11	2.7882e-08	696,493	2	42	26
31	7.881e-11	5.6349e-08	472,714	2	70	35
32	2.1054e-10	1.5054e-07	472,272,692	3	36	23
33	4.1801e-10	2.9888e-07	472,346,401	3	29	20
34	4.1801e-10	2.9888e-07	733,493	2	29	20
35	5.5934e-10	3.9993e-07	272,493,401	3	40	24
36	6.2564e-10	4.4733e-07	472,346,272	3	43	25
37	8.1269e-10	5.8107e-07	569,472,493	3	18	15
38	1.0052e-09	7.187e-07	569,493	2	38	23
39	1.0448e-09	7.4706e-07	696,472	2	59	30
40	2.0692e-09	1.4794e-06	311,472,272	3	39	23
41	2.2933e-09	1.6397e-06	472,493,714	3	11	11
42	4.3499e-09	3.1102e-06	272,692	2	162	57
43	4.6354e-09	3.3143e-06	041,493,272	3	15	13
44	5.6911e-09	4.0691e-06	493,714	2	32	20
45	1.2425e-08	8.8842e-06	472,401,692	3	25	17
46	1.4586e-08	1.0429e-05	250,472	2	39	22
47	1.7542e-08	1.2543e-05	346,493,272	3	28	18
48	2.3392e-08	1.6726e-05	472,346,493,272	4	12	11
49	3.0384e-08	2.1725e-05	311,493,272	3	26	17
50	3.6816e-08	2.6324e-05	041	1	717	173
51	8.2781e-08	5.9189e-05	311,472,401	3	30	18
52	8.5607e-08	6.1209e-05	311,472,493,272	4	9	9
53	8.5607e-08	6.1209e-05	472,493,272,692	4	9	9
54	8.5607e-08	6.1209e-05	041,472,493,272	4	9	9
55	8.5607e-08	6.1209e-05	733,472,493	3	9	9
56	8.7539e-08	6.2591e-05	041,346,472	3	22	15
57	1.2285e-07	8.784e-05	733,472	2	49	24
58	1.2928e-07	9.2432e-05	696,472,493	3	13	11
59	2.3114e-07	0.00016526	311,472,692	3	18	13
60	2.3114e-07	0.00016526	041,472,692	3	18	13
61	2.3114e-07	0.00016526	696,472,272	3	18	13
62	3.2319e-07	0.00023108	311,346,472	3	32	18
63	3.552e-07	0.00025397	346,493,692	3	16	12
64	6.7034e-07	0.0004793	472,724	2	12	10
65	8.567e-07	0.00061254	250,493	2	22	14
66	9.0852e-07	0.00064959	041,472,272	3	40	20
67	1.1224e-06	0.00080252	472,199	2	31	17
68	1.4379e-06	0.0010281	311,692	2	84	32
69	2.4739e-06	0.0017688	493,401,692	3	13	10
70	2.6161e-06	0.0018705	311,493,401	3	18	12
71	3.2335e-06	0.0023119	250,346	2	53	23
72	3.4243e-06	0.0024483	041,346,493	3	11	9
73	3.8032e-06	0.0027193	472,272,714	3	30	16
74	4.6099e-06	0.0032961	041,346	2	100	35
75	5.2712e-06	0.0037689	346,272	2	288	77
76	6.676e-06	0.0047734	346,401	2	252	69
77	7.3761e-06	0.0052739	311,493,692	3	14	10
78	1.0742e-05	0.0076802	346,493,401	3	17	11
79	1.0953e-05	0.0078313	401,692	2	116	38
80	1.1686e-05	0.0083555	733,472,692	3	12	9
81	1.1686e-05	0.0083555	472,530	2	12	9
82	1.259e-05	0.009002	041,692	2	53	22
83	1.342e-05	0.0095956	250,346,401	3	26	14
84	1.3479e-05	0.0096374	696,692	2	76	28
85	1.5273e-05	0.01092	311,346	2	170	50
86	1.6874e-05	0.012065	346,272,401	3	97	33
87	1.7182e-05	0.012285	472,272,346,401	4	10	8
88	1.7182e-05	0.012285	472,346,714	3	10	8
89	1.8855e-05	0.013482	311,272,472,401	4	15	10
90	1.9479e-05	0.013928	472,346,401,692	4	6	6
91	1.9479e-05	0.013928	472,493,401,692	4	6	6
92	1.9479e-05	0.013928	472,346,493,692	4	6	6
93	1.9479e-05	0.013928	733,493,692	3	6	6
94	1.9479e-05	0.013928	472,199,493	3	6	6
95	2.1874e-05	0.01564	311,472,493,692	4	8	7
96	2.351e-05	0.01681	199,493	2	18	11
97	2.3664e-05	0.01692	250,692	2	27	14
98	3.2413e-05	0.023175	311,346,493	3	13	9
99	3.2413e-05	0.023175	569,472,692	3	13	9
100	4.2856e-05	0.030642	696,472,692	3	16	10
101	4.2856e-05	0.030642	V83,493	2	16	10
102	4.3453e-05	0.031069	311,272	2	256	67
103	4.4724e-05	0.031978	311,272,692	3	25	13
