# Non-redundant combinations
# LAMP ver. 2.0.3
# item-file: /imppc/labs/dnalab/xduran/fim/data/ingr/data.csv
# value-file: /imppc/labs/dnalab/xduran/fim/data/ingr/values.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 256, # of samples: 73405, # of positive samples: 5575
# Adjusted significance level: 0.00019841, Correction factor: 252 (# of target rows >= 4)
# # of significant combinations: 200 -> 200
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	1.28210035096e-320	3.2309e-318	HistDuradaIngres	1	17599	2610
2	3.78869299857e-319	9.5476e-317	Urgent	1	39877	4427
3	3.78869299857e-319	9.5476e-317	HistUrgent	1	39877	4427
4	1.5508e-304	3.9081e-302	HistICD9_V58	1	7824	1545
5	5.2695e-285	1.3279e-282	HistICD9_518	1	4708	1120
6	1.9865e-262	5.006e-260	HistProcedenciaIngres.1	1	11891	1911
7	8.9689e-261	2.2602e-258	HistICD9_428	1	4834	1099
8	1.7361e-238	4.3751e-236	HistICD9_427	1	5527	1151
9	1.9767e-235	4.9812e-233	HistICD9_041	1	3565	886
10	4.442e-234	1.1194e-231	HistICD9_272	1	8004	1436
11	3.1858e-232	8.0282e-230	HistICD9_401	1	8902	1532
12	8.2863e-230	2.0881e-227	IngresMajor0	1	48987	4747
13	4.5688e-220	1.1513e-217	HistICD9_584	1	3057	790
14	1.2983e-211	3.2717e-209	HistICD9_585	1	3745	874
15	4.0867e-206	1.0298e-203	HistICD9_276	1	2450	679
16	7.0534e-206	1.7775e-203	ICD9_428	1	7402	1312
17	1.687e-204	4.2512e-202	HistICD9_V15	1	6415	1196
18	3.367e-195	8.4849e-193	HistICD9_780	1	3124	762
19	1.1269e-186	2.8399e-184	HistICD9_V45	1	4912	982
20	6.1463e-186	1.5489e-183	HistICD9_250	1	5375	1037
21	2.4618e-184	6.2037e-182	HistICD9_403	1	3096	741
22	3.6252e-178	9.1355e-176	HistICD9_599	1	2733	680
23	3.3802e-177	8.5181e-175	HistICD9_285	1	3252	751
24	6.9821e-162	1.7595e-159	ICD9_427	1	11045	1596
25	5.0821e-160	1.2807e-157	HistICD9_491	1	2243	581
26	1.1476e-152	2.892e-150	ICD9_518	1	6737	1125
27	1.3682e-152	3.4479e-150	EdatMajor50	1	53393	4841
28	3.2272e-152	8.1326e-150	HistClasseAltaDomicili	1	21432	2517
29	1.6838e-144	4.2433e-142	HistICD9_519	1	2353	573
30	2.4313e-137	6.1269e-135	ICD9_585	1	6783	1095
31	1.1227e-133	2.8293e-131	ICD9_V58	1	13582	1763
32	1.4768e-126	3.7215e-124	HistICD9_V12	1	3210	657
33	2.2666e-122	5.7118e-120	HistICD9_397	1	1839	464
34	1.478e-113	3.7245e-111	HistICD9_305	1	3567	676
35	5.528e-113	1.3931e-110	HistICD9_790	1	2372	523
36	8.3979e-113	2.1163e-110	HistICD9_V10	1	3326	645
37	1.1318e-102	2.8522e-100	HistICD9_414	1	3673	666
38	1.3577e-102	3.4214e-100	HistICD9_466	1	2033	459
39	2.0251e-99	5.1033e-97	ICD9_403	1	5340	847
40	2.952e-98	7.4391e-96	HistICD9_424	1	2308	488
41	1.7659e-93	4.45e-91	ICD9_250	1	11490	1443
42	5.8043e-93	1.4627e-90	HistICD9_486	1	1309	340
43	5.6542e-90	1.4249e-87	HistICD9_564	1	1046	295
44	8.4141e-90	2.1203e-87	HistICD9_496	1	1535	368
45	7.6874e-89	1.9372e-86	HistICD9_416	1	1610	377
46	3.0865e-86	7.7781e-84	HistICD9_V46	1	1443	349
47	8.0309e-85	2.0238e-82	HistICD9_V14	1	2479	484
48	1.9498e-83	4.9134e-81	HistICD9_293	1	1101	294
49	5.3194e-81	1.3405e-78	ICD9_491	1	3057	546
50	8.3054e-81	2.093e-78	HistProcedenciaIngres.8	1	8507	1118
51	8.265e-78	2.0828e-75	HistClasseAltaTrasllat.a.centre.socisanitari	1	2490	471
52	6.0526e-77	1.5253e-74	HistICD9_426	1	1832	386
53	3.8799e-76	9.7773e-74	HistICD9_V43	1	2092	418
54	2.7596e-74	6.9543e-72	HistICD9_507	1	1028	269
55	6.1914e-74	1.5602e-71	HistICD9_303	1	1355	316
56	2.2985e-73	5.7921e-71	HistClasseAltaTrasllat.hospital.aguts	1	2313	440
57	1.01e-71	2.5452e-69	HistICD9_V60	1	1648	352
58	2.9489e-70	7.4312e-68	HistICD9_294	1	1229	292
59	4.1051e-70	1.0345e-67	HistICD9_995	1	804	228
60	1.4368e-69	3.6208e-67	ICD9_584	1	3806	604
61	1.2306e-68	3.1012e-66	HistICD9_300	1	1466	322
62	1.2596e-68	3.1741e-66	HistICD9_280	1	1378	310
63	1.2303e-67	3.1003e-65	IngresMajor10	1	8505	1074
64	5.448e-67	1.3729e-64	HistICD9_787	1	1148	275
65	4.5259e-66	1.1405e-63	HistICD9_197	1	1089	265
66	2.9371e-64	7.4014e-62	HistICD9_440	1	1325	295
67	1.8266e-63	4.6031e-61	HistICD9_492	1	854	226
68	6.9795e-63	1.7588e-60	HistICD9_733	1	1891	366
69	1.1659e-62	2.938e-60	HistICD9_571	1	1481	313
70	1.3792e-62	3.4756e-60	HistICD9_278	1	2066	387
71	1.5537e-62	3.9154e-60	HistICD9_038	1	697	200
